filepath,emotion
data/raw/crema_d/AudioWAV/crema_d_1001_dfa_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_dfa_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_dfa_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_dfa_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_dfa_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_dfa_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_ang_hi.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_ang_lo.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_ang_md.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_dis_hi.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_dis_lo.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_dis_md.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_fea_hi.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_fea_lo.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_fea_md.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_hap_hi.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_hap_lo.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_hap_md.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_sad_hi.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_sad_lo.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_ieo_sad_md.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_iom_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_iom_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_iom_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_iom_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_iom_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_iom_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_ith_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_ith_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_ith_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_ith_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_ith_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_ith_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_its_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_its_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_its_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_its_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_its_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_its_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_iwl_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_iwl_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_iwl_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_iwl_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_iwl_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_iwl_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_iww_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_iww_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_iww_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_iww_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_iww_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_iww_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_mti_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_mti_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_mti_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_mti_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_mti_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_mti_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_tai_ang_xx.wav,angry
